N,CODIGO_PROYECTO,SUBDIRECCION,PROGRAMA,INSTRUMENTO,NOMBRE_CONCURSO,AGNO_CONCURSO,AGNO_FALLO,NOMBRE_PROYECTO,AREA_OCDE,DISCIPLINA_DETALLE,GRUPO_DE_EVALUACION,DURACION_MESES,TIPO_BENEFICIARIO,NOMBRE_RESPONSABLE,SEXO,INSTITUCION_PRINCIPAL,MACROZONA_MINCIENCIA,REGION_EJECUCION,MONTO_ADJUDICADO,NOTA_MONTO,MONEDA,PALABRAS_CLAVES
8681,7010412,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,MAGMATIC AND METAMORPHIC EVENTS IN THE PATAGONIAN ANDES THEIR CORRELATION WITHIN THE MOUNTAIN RANGE AND WITH THE CONTINENTAL MARGIN OCEANIC PLATE INTERACTIONS,CIENCIAS NATURALES,GEOLOGIA Y MINERALOGIA,CS. DE LA TIERRA,48,PERSONA NATURAL,FRANCISCO ENRIQUE ISIDORO HERVE ALLAMAND,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,6800,NA,Miles de pesos (M$),SIN INFORMACION
8682,7010422,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,MEJORAMIENTO DE MODELACION DE CIUDADES Y EXTENSION Y CIUDADES DE DIVERSAS CARACTERISTICAS,INGENIERIA Y TECNOLOGIA,INGENIERIA DE TRANSPORTES,INGENIERIA 2,48,PERSONA NATURAL,FRANCISCO JAVIER MARTINEZ CONCHA,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,6480,NA,Miles de pesos (M$),SIN INFORMACION
8683,7010429,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,OPTICAL AND TRANSPORT PROPERTIES OF SEMICONDUCTOR NANOSTRUCTURES,CIENCIAS NATURALES,FISICA TEORICA Y EXPERIMENTAL,FISICA TEORICA Y EXP,48,PERSONA NATURAL,MONICA PACHECO DOLL,MUJER,UNIVERSIDAD DE SANTIAGO DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,6800,NA,Miles de pesos (M$),SIN INFORMACION
8684,7010430,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,NORMAS ESTANDARES Y PROTECCIONISMO,CIENCIAS SOCIALES,CS. ECONOMICAS Y ADMINISTRATIVAS,CS. ECONOM/ADMI,24,PERSONA NATURAL,RONALD DAVID FISCHER BARKAN,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,3400,NA,Miles de pesos (M$),SIN INFORMACION
8685,7010446,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,CLASSICAL AND QUANTUM ASPECTS OF BLACK HOLES,CIENCIAS NATURALES,ASTRONOMIA COSMOLOGIA Y PARTICULAS,ASTRON.COSMOL.Y PAR,48,PERSONA NATURAL,CRISTIAN ANDRES MARTINEZ SILVA,HOMBRE,CENTRO DE ESTUDIOS CIENTIFICOS DE SANTIAGO (CECS),SUR,REGION DE LOS RIOS,6800,NA,Miles de pesos (M$),SIN INFORMACION
8686,7010449,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,THE ROLE OF SOLUTIONS IN GRAVITY,CIENCIAS NATURALES,FISICA TEORICA Y EXPERIMENTAL,FISICA TEORICA Y EXP,48,PERSONA NATURAL,ANDRES SIMON GOMBEROFF SELOWSKY,HOMBRE,CENTRO DE ESTUDIOS CIENTIFICOS DE SANTIAGO (CECS),SUR,REGION DE LOS RIOS,6800,NA,Miles de pesos (M$),SIN INFORMACION
8687,7010450,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,THE DYNAMICAL STRUCTURE OF NEW GAUGE SUPERGRAVITY THEORIES,CIENCIAS NATURALES,FISICA TEORICA Y EXPERIMENTAL,FISICA TEORICA Y EXP,48,PERSONA NATURAL,RICARDO ALEJANDRO TRONCOSO PEREZ,HOMBRE,CENTRO DE ESTUDIOS CIENTIFICOS DE SANTIAGO (CECS),SUR,REGION DE LOS RIOS,6800,NA,Miles de pesos (M$),SIN INFORMACION
8688,7010467,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,RELIGION Y SOCIEDAD EN SANTIAGO COLONIAL.IGLESIA PRACTICAS DEVOCIONALES Y SENSIBILIDADES COLECTIVAS EN LOS SIGLOS XVII Y XVIII,HUMANIDADES,HISTORIA DE CHILE,HISTORIA,24,PERSONA NATURAL,JAIME ALBERTO VALENZUELA MARQUEZ,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,3275,NA,Miles de pesos (M$),SIN INFORMACION
8689,7010485,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,PERTURBATIONS AND ANISOTROPIC COSMOLOGIES IN THE EARLY UNIVERSE,CIENCIAS NATURALES,ASTRONOMIA COSMOLOGIA Y PARTICULAS,ASTRON.COSMOL.Y PAR,48,PERSONA NATURAL,YOSELIN MAURICIO CATALDO MONSALVES,HOMBRE,UNIVERSIDAD DEL BIO BIO,CENTRO SUR,REGION DEL BIOBIO,6800,NA,Miles de pesos (M$),SIN INFORMACION
8690,7010492,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,ESTUDIO DE LAS ESPECIES NATIVAS DE TRICHOGRAMMA EN LA VII Y VIII REGIONES DE CHILE SU TAXONOMIA Y COMPORTAMIENTO PARASITICO.,CIENCIAS AGRICOLAS,ENTOMOLOGIA AGRICOLA,AGRONOMIA,36,PERSONA NATURAL,MARCOS EDUARDO GERDING PARIS,HOMBRE,INSTITUTO DE INVESTIGACIONES AGROPECUARIAS (INIA),CENTRO SUR,REGION DEL BIOBIO,3170,NA,Miles de pesos (M$),SIN INFORMACION
