N,CODIGO_PROYECTO,SUBDIRECCION,PROGRAMA,INSTRUMENTO,NOMBRE_CONCURSO,AGNO_CONCURSO,AGNO_FALLO,NOMBRE_PROYECTO,AREA_OCDE,DISCIPLINA_DETALLE,GRUPO_DE_EVALUACION,DURACION_MESES,TIPO_BENEFICIARIO,NOMBRE_RESPONSABLE,SEXO,INSTITUCION_PRINCIPAL,MACROZONA_MINCIENCIA,REGION_EJECUCION,MONTO_ADJUDICADO,NOTA_MONTO,MONEDA,PALABRAS_CLAVES
2472,1900765,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,SISTEMAS EXPERTOS PARA LA PLANIFICACION DE TAREAS FRACCIONADAS.,INGENIERIA Y TECNOLOGIA,INGENIERIA EN COMPUTACION,INGENIERIA 2,24,PERSONA NATURAL,MIGUEL NUSSBAUM VOEHL,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,7925,NA,Miles de pesos (M$),SIN INFORMACION
2473,1900766,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,MODELACION SIMULACION Y ANALISIS DE SISTEMAS DIGITALES DE COMUNICACION.,INGENIERIA Y TECNOLOGIA,INGENIERIA EN COMPUTACION,INGENIERIA 2,24,PERSONA NATURAL,MIGUEL FELIX RIOS OJEDA,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,8052,NA,Miles de pesos (M$),SIN INFORMACION
2474,1900767,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,REGULACION NEUROHUMORAL DEL TONO VASCULAR PARTICIPACION DEL ENDOTELIO Y NERVIOS PERIVASCULARES.,CIENCIAS NATURALES,FARMACOLOGIA,BIOLOGIA 3,24,PERSONA NATURAL,JUAN PABLO GARCIA-HUIDOBRO TORO,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,35849,NA,Miles de pesos (M$),SIN INFORMACION
2475,1900768,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,BIOGENESIS DE MITOCONDRIAS DE VEGETALES ESTUDIOS SOBRE LA EXPRESION DEL GENOMA MITOCONDRIAL DE SOLANUM TUBEROSUM.,CIENCIAS NATURALES,BIOLOGIA MOLECULAR,BIOLOGIA 3,36,PERSONA NATURAL,XAVIER SERGIO JORDANA DE BUEN,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,20553,NA,Miles de pesos (M$),SIN INFORMACION
2476,1900769,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,ANALISIS ESTRUCTURAL Y MOLECULAR DE LA DIFERENCIACION DE LAS GLANDULAS GASTRICAS. INFLUENCIA DE LA MATRIZ EXTRACELULAR EN LA ONTOGENEA DE LAS CELULAS OXINTICAS.,CIENCIAS NATURALES,BIOLOGIA CELULAR,BIOLOGIA 2,24,PERSONA NATURAL,CECILIA KOENIG SAMOHOD,MUJER,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,10115,NA,Miles de pesos (M$),SIN INFORMACION
2477,1900770,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,ANALISIS DE LA ESTRUCTURA Y DINAMICA COMUNITARIA DEL INTERMAREAL ROCOSO DEL NORTE DE CHILE CAMBIO Y PERSISTENCIA DE PATRONES Y PROCESOS MEDIADOS POR PERTURBACION (EL NINO 1982-83).,CIENCIAS NATURALES,ECOLOGIA Y CIENCIAS AMBIENTALES,BIOLOGIA 1,24,PERSONA NATURAL,PATRICIO ALEJANDRO CAMUS CONTRERAS,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,6265,NA,Miles de pesos (M$),SIN INFORMACION
2478,1900775,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,PROCESOS FOTOFISICOS DE MOLECULAS EXCITADAS EN SISTEMAS MICROHETEREOGENEOS.,CIENCIAS NATURALES,FISICO-QUIMICA,QUIMICA,24,PERSONA NATURAL,ELSA BEATRIZ ABUIN SACCOMANO,MUJER,UNIVERSIDAD DE SANTIAGO DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,13739,NA,Miles de pesos (M$),SIN INFORMACION
2479,1900776,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,OXIDACION DE COMPUESTOS ORGANICOS SOBRE ELECTRODOS DE METALES NOBLES MODIFICADOS.,CIENCIAS NATURALES,FISICO-QUIMICA,QUIMICA,36,PERSONA NATURAL,MARIA SOLEDAD URETA ZAÑARTU,MUJER,UNIVERSIDAD DE SANTIAGO DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,15030,NA,Miles de pesos (M$),SIN INFORMACION
2480,1900777,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,"DIAGNOSTICO ACUSTICO Y CORRELACIONES APRENDIZAJE Y AUDICION EN ESCOLARES DE TRES ESTRATOS SOCIO-ECONOMICOS DE LA REGION METROPOLITANA""",CIENCIAS SOCIALES,PEDAGOGIA Y EDUCACION,EDUCACION,36,PERSONA NATURAL,HERNAN ROBERTO COSTABAL TORRES,HOMBRE,UNIVERSIDAD DE SANTIAGO DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,11396,NA,Miles de pesos (M$),SIN INFORMACION
2481,1900778,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,DESARROLLO DE SISTEMA DE PRODUCCION DE PELICULAS DELGADAS PARA APLICACIONES OPTICAS.,INGENIERIA Y TECNOLOGIA,INGENIERIA ELECTRONICA,INGENIERIA 2,24,PERSONA NATURAL,JAIME VICTORINO CABALLERO MULLER,HOMBRE,UNIVERSIDAD DE SANTIAGO DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,9843,NA,Miles de pesos (M$),SIN INFORMACION
2482,1900785,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,EL DESARROLO ECONOMICO Y SOCIAL DE LA INDUSTRIA DEL CARBON EN CHILE.,HUMANIDADES,HISTORIA ECONOMICA,HISTORIA,36,PERSONA NATURAL,LUIS MARCELO ORTEGA MARTINEZ,HOMBRE,UNIVERSIDAD DE SANTIAGO DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,8072,NA,Miles de pesos (M$),SIN INFORMACION
2483,1900786,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,HIDROGENO DE METALES.,CIENCIAS NATURALES,FISICA TEORICA Y EXPERIMENTAL,FISICA TEORICA Y EXP,24,PERSONA NATURAL,PATRICIO FERNANDO VARGAS CANTIN,HOMBRE,UNIVERSIDAD DE SANTIAGO DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,16899,NA,Miles de pesos (M$),SIN INFORMACION
2484,1900797,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,"""SINTESIS DE PRODUCTOS ODORIFEROS RELACIONADOS CON EL AMBAR GRIS"".",CIENCIAS NATURALES,QUIMICA,QUIMICA 2,24,PERSONA NATURAL,JOSE TOMAS LOPEZ VIVAR,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,7436,NA,Miles de pesos (M$),SIN INFORMACION
2485,1900799,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,SINTESIS CARACTERIZACION Y ESTRUCTURA ELECTRONICA DE POLIMEROS ORGANOMETALICO CONDUCTORES DE FIERRO . COBALTO Y NIQUELDERIVADOS DE PENTALENO Y S-INDACENO.,CIENCIAS NATURALES,QUIMICA INORGANICA,QUIMICA,36,PERSONA NATURAL,JUAN MANUEL MANRIQUEZ MUJICA,HOMBRE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,CENTRO,REGION DE VALPARAISO,17976,NA,Miles de pesos (M$),SIN INFORMACION
2486,1900800,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,ESTRUCTURA ELECTRONICA DE CLUSTERS MOLECULARES.,CIENCIAS NATURALES,OTRAS ESPECIALIDADES DE LA QUIMICA,QUIMICA,24,PERSONA NATURAL,RAMIRO ARRATIA PEREZ,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,9035,NA,Miles de pesos (M$),SIN INFORMACION
2487,1900801,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,ESTUDIO DE LAS FORMAS MICROSCOPICAS DE SUPERVIVENCIA DE MACROALGAS BENTONICAS.,CIENCIAS NATURALES,BIOLOGIA MARINA,BIOLOGIA 1,36,PERSONA NATURAL,ALICIA XIMENA HOFFMANN MARECHAL,MUJER,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,13788,NA,Miles de pesos (M$),SIN INFORMACION
2488,1900802,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,EFECTOS DE METABOLITOS DE ACIDOS GRASOS Y DE XENOBIOTICOS EN PROTEINA KINASA C Y TRANSDUCCION DE SENALES. IMPLICACIONES EN TUMORIGENESIS.,CIENCIAS NATURALES,BIOQUIMICA FARMACOLOGICA,BIOLOGIA 3,24,PERSONA NATURAL,MIGUEL LEONARDO BRONFMAN AGUILO,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,20456,NA,Miles de pesos (M$),SIN INFORMACION
2489,1900803,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,SELECCION DE INDIVIDUOS SELECTOR PARA PROPAGACION DE CULTIVOS DE GRACILARIA.,CIENCIAS NATURALES,BIOLOGIA MARINA,BIOLOGIA 1,36,PERSONA NATURAL,BERNABE SEGUNDO SANTELICES GONZALEZ,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,16094,NA,Miles de pesos (M$),SIN INFORMACION
2490,1900806,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,LA NOSTALGIA Y LA CONSTRUCCION SOCIAL DEL SENTIDO. CHILE EN EL SIGLO XX.,CIENCIAS SOCIALES,SOCIOLOGIA,SOCIOLOGIA CS I,12,PERSONA NATURAL,DARIO ROLANDO JOSE RODRIGUEZ MANSILLA,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,1452,NA,Miles de pesos (M$),SIN INFORMACION
2491,1900809,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,PERFIL DE LA FAMILIA CHILENA. UNA DECADA 1980-1989.,CIENCIAS SOCIALES,SOCIOLOGIA,SOCIOLOGIA CS I,24,PERSONA NATURAL,PAZ COVARRUBIAS ORTUZAR,MUJER,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,4965,NA,Miles de pesos (M$),SIN INFORMACION
2492,1900810,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,VIVIENDO EL ENVEJECER SIGNIFICADO RESTRICCIONES SOCIALES Y VIAS DE SOLUCION.,CIENCIAS SOCIALES,SOCIOLOGIA,SOCIOLOGIA CS I,12,PERSONA NATURAL,CARMEN BARROS LEZAETA,MUJER,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,3023,NA,Miles de pesos (M$),SIN INFORMACION
2493,1900812,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,PENSAMIENTO MILITAR CHILENO 1885-1940.,HUMANIDADES,HISTORIA DE CHILE,HISTORIA,12,PERSONA NATURAL,ENRIQUE IGNACIO BRAHM GARCIA,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,1056,NA,Miles de pesos (M$),SIN INFORMACION
2494,1900813,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,RESTRICCION EXTERNA OFERTA AGREGADA Y EMPLEO UN ANALISIS EMPIRICO DEL CASO CHILENO.,CIENCIAS SOCIALES,CS. ECONOMICAS Y ADMINISTRATIVAS,CS. ECONOM/ADMI,24,PERSONA NATURAL,JUAN EDUARDO COEYMANS AVARIA,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,7095,NA,Miles de pesos (M$),SIN INFORMACION
2495,1900814,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,CAMBIOS EN LA ESTRUCTURA 1978-1988.,CIENCIAS SOCIALES,ECONOMIA LABORAL Y DE LOS RECURSOS HUMAN,CS. ECONOM/ADMI,NA,PERSONA NATURAL,MARIO TORCHE LAZO,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,3905,NA,Miles de pesos (M$),SIN INFORMACION
2496,1900815,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,SHOCKS EXTERNOS CAMBIOS ESTRUCTURALES Y POLITICAS DE AJUSTE EN LA ECONOMIA CHILENA DURANTE LOS 80.,CIENCIAS SOCIALES,CS. ECONOMICAS Y ADMINISTRATIVAS,CS. ECONOM/ADMI,12,PERSONA NATURAL,DOMINIQUE HACHETTE DE LA FRESNAYE,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,3938,NA,Miles de pesos (M$),SIN INFORMACION
2497,1900816,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,"""EFECTO DE LAS PATENTES DE MEDICAMENTOS SOBRE EL MERCADO FARMACEUTICO Y SU IMPACTO SOBRE LA SALUD Y EL GASTO FISCAL"".",CIENCIAS SOCIALES,ECONOMIA LABORAL Y DE LOS RECURSOS HUMAN,CS. ECONOM/ADMI,NA,PERSONA NATURAL,DANIEL WISECARVER DUELL,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,3388,NA,Miles de pesos (M$),SIN INFORMACION
2498,1900818,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,ROL DE LA PROGESTERONA FOLICULAR.,CIENCIAS MEDICAS Y DE LA SALUD,GINECOLOGIA OBSTETRICIA Y REPRODUCCION,MEDICINA 1,24,PERSONA NATURAL,HORACIO BRUNO CROXATTO AVONI,HOMBRE,INSTITUTO CHILENO DE MEDICINA REPRODUCTIVA (ICMER),RM,REGION METROPOLITANA DE SANTIAGO,10490,NA,Miles de pesos (M$),SIN INFORMACION
2499,1900819,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,ADAPTACION Y ESTANDARIZACION DE NUEVAS ESCALAS DE INVENTARIO MULTIFASICO DE PERSONALIDAD DE MINNESOTA (M.M.P.I.)EN LA POBLACION CHILENA.,CIENCIAS SOCIALES,PSICOLOGIA,SICOLOGIA,24,PERSONA NATURAL,FERNANDO JORGE RISSETTI NUNEZ,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,8525,NA,Miles de pesos (M$),SIN INFORMACION
2500,1900820,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,ESTUDIOS NEUROQUIMICOS EN EL LECHO DE LA ESTRIA TERMINAL DEL CEREBRO DE LA RATA INTERRELACIONES ENTRE COLECISTOQUININA Y AMINAS BIOGENICAS.,CIENCIAS NATURALES,FISIOLOGIA BIOFISICA,BIOLOGIA 2,24,PERSONA NATURAL,KATIA CECILIA GYSLING CASELLI,MUJER,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,10919,NA,Miles de pesos (M$),SIN INFORMACION
2501,1900821,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,EXPERIMENTAL STUDY OF GRANIVORY IN A SEMI-ARID ECOSYSTEM EFECTS OF THE SELECTIVE REMOVAL OF CONSUMERS.,CIENCIAS NATURALES,ECOLOGIA Y CIENCIAS AMBIENTALES,BIOLOGIA 1,24,PERSONA NATURAL,RODRIGO GUILLERMO MEDEL CONTRERAS,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,4400,NA,Miles de pesos (M$),SIN INFORMACION
2502,1900822,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,ESTUDIO ENZIMATICO GENETICO Y BIOTECNOLOGICO DE CELULOSAS Y XILANASAS EN HONGOS NATIVOS DEL GENERO PENICILLIUM QUE DEGRADAN LIGNOCELULOSAS.,CIENCIAS NATURALES,BIOQUIMICA,BIOLOGIA 3,24,PERSONA NATURAL,JAIME JULIO EYZAGUIRRE PHILIPPI,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,15727,NA,Miles de pesos (M$),SIN INFORMACION
2503,1900823,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,ESTUDIOS FUNCIONALES DE ESPERMATOZOIDES HUMANOS DURANTE LA CAPACITACION IN VITRO Y LA INTERACCION CON LA ZONA PELUCIDA.,CIENCIAS MEDICAS Y DE LA SALUD,GINECOLOGIA OBSTETRICIA Y REPRODUCCION,MEDICINA 1,36,PERSONA NATURAL,PATRICIO JOSE MORALES RETAMAL,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,18381,NA,Miles de pesos (M$),SIN INFORMACION
2504,1900824,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,DEGRADACION SUVERMISPORA Y METABOLIZACION BACTERIANA DE LOS INTERMEDIARIOS PRODUCIDOS.,CIENCIAS NATURALES,BIOQUIMICA,BIOLOGIA 3,24,PERSONA NATURAL,MARIA DEL RUTTIMANN CURTZE,MUJER,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,4400,NA,Miles de pesos (M$),SIN INFORMACION
2505,1900826,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,FEROMONAS SINTETICAS PARA MONITOREAR VUELO DE INSECTOS PLAGAS (LEPIDOPTERA NOCTUIDAE) EN LA REGION METROPOLITANA.,CIENCIAS AGRICOLAS,ENTOMOLOGIA AGRICOLA,AGRONOMIA,36,PERSONA NATURAL,JAIME ULISES APABLAZA HIDALGO,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,8905,NA,Miles de pesos (M$),SIN INFORMACION
2506,1900833,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,PREVALENCIA DE LITIASIS BILIAR SINTOMATICA Y SILENTE DETECCION PRECOZ DE CANCER VESICULAR E IDENTIFICACION QUIMICA DE UNA SUSTANCIA POTENCIALMENTE LITOGENICA EN POROTOS.,CIENCIAS MEDICAS Y DE LA SALUD,GASTROENTEROLOGIA FISIOLOGIA DIGESTIVA,MEDICINA 1,36,PERSONA NATURAL,FLAVIO NERVI ODDONE,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,54796,NA,Miles de pesos (M$),SIN INFORMACION
2507,1900834,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,ANALISIS DE LA FUNCION DEL PROTO-ONCOGEN C-REL EN CELULAS DEL SISTEMA INMUNE Y EN LEUCEMIAS HUMANAS.,CIENCIAS NATURALES,BIOLOGIA MOLECULAR,BIOLOGIA 3,24,PERSONA NATURAL,PAULINA ANGELICA BULL SIMPFENDORFER,MUJER,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,15554,NA,Miles de pesos (M$),SIN INFORMACION
2508,1900840,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,EQUILIBRIO OFERTA-DEMANDA EN REDES MULTIMODALES DE TRANSPORTE CON MODOS COMPUESTOS.,INGENIERIA Y TECNOLOGIA,INGENIERIA DE TRANSPORTES,INGENIERIA 2,24,PERSONA NATURAL,JOSE ENRIQUE FERNANDEZ LARRANAGA,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,7696,NA,Miles de pesos (M$),SIN INFORMACION
2509,1900844,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,INSULINOTERAPIA NOCTURNA ASOCIADA A SULFONILUREAS EN DIABETICOS NO INSULINODEPENDETES CON FRACASO SECUNDARIO A HIPOGLICEMIANTES ORALES.,CIENCIAS MEDICAS Y DE LA SALUD,ENFERMEDADES DE LA NUTRICION Y ENDOCRINO,MEDICINA 2,24,PERSONA NATURAL,MANUEL ALBERTO MAIZ GURRUCHAGA,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,5556,NA,Miles de pesos (M$),SIN INFORMACION
2510,1900849,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,INFLUENCIA DE FACTORES GENETICOS Y AMBIENTALES EN LA EXPRESION DE D8/17  UN NUEVO MARCADOR DE ENFERMEDAD REUMATICA Y SU RELACION CON LA RESPUESTA INMUNE,CIENCIAS MEDICAS Y DE LA SALUD,REUMATOLOGIA INFLAMACION ENFERMEDADES,MEDICINA 1,24,PERSONA NATURAL,FERNANDO FIGUEROA ELIZALDE,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,6049,NA,Miles de pesos (M$),SIN INFORMACION
2511,1900850,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,ESTUDIO HISTOLOGICO DEL RINON D DONANTES VIVIOS PARA TRANSPLANTE RENAL PESQUISA DE NEFROPATIAS EN DONANTES APARENTEMENTE SANOS.,CIENCIAS MEDICAS Y DE LA SALUD,NEFROLOGIA FISIOLOGIA RENAL,MEDICINA 1,24,PERSONA NATURAL,HELMAR ROSENBERG GOMEZ,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,6551,NA,Miles de pesos (M$),SIN INFORMACION
2512,1900851,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,PATHOLOGICAL CHNGES INDUCED BY CHRONICALLI INGREASED AORTIC INPUT IMPEDANCE ANESTHETIC MANAGEMENT.,INGENIERIA Y TECNOLOGIA,INGENIERIA BIOMEDICA Y BIOINGENIERIA,INGENIERIA 2,36,PERSONA NATURAL,JORGE CARLOS URZUA URZUA,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,18010,NA,Miles de pesos (M$),SIN INFORMACION
2513,1900854,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,TOPOGRAFIA MORFOLOGIA Y CONECTIVIDAD DE LAS AREAS ESPECIALIZADAS EN LA RETINA DE FALCONIFORMES.,CIENCIAS NATURALES,MORFOLOGIA,BIOLOGIA 2,24,PERSONA NATURAL,OSCAR ALEJANDRO INZUNZA HERNANDEZ,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,12147,NA,Miles de pesos (M$),SIN INFORMACION
2514,1900856,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,ESTUDIO COMPARATIVO DE ELCTRODOS ESFENOIDALES Y DE FORAMEN ORAL EN LA LOCALIZACION DE FOCOS EPILEPTICOS.,CIENCIAS MEDICAS Y DE LA SALUD,NEUROLOGIA Y NEUROCIRUGIA,MEDICINA 1,24,PERSONA NATURAL,JAIME GODOY FERNANDEZ,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,4372,NA,Miles de pesos (M$),SIN INFORMACION
2515,1900857,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,INFLUENCIA DE LA 5-HIDROXITRIPTAMINA PLAQUETARIA EN LA SUPERVIVENCIA Y REMOCION DE LAS PLAQUETAS DE LA CIRCULACION.,CIENCIAS MEDICAS Y DE LA SALUD,HEMATOLOGIA E INMUNOLOGIA CLINICA,MEDICINA 2,24,PERSONA NATURAL,EDUARDO JAVIER ARANDA LAURIANI,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,6360,NA,Miles de pesos (M$),SIN INFORMACION
2516,1900859,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,EL IMPACTO DE PROGRAMAS DE DISTRIBUCION DE ALIMENTOS EN EL INGRESO FAMILIAR Y EN EL CONSUMO DE ALIMENTOS INGESTA CALORICA Y ESTADO NUTRICIONAL DE LOS NINOS EN SANTIAGO.,CIENCIAS SOCIALES,CS. ECONOMICAS Y ADMINISTRATIVAS,CS. ECONOM/ADMI,12,PERSONA NATURAL,EUGENIA TERESA MUCHNIK WEINSTEIN,MUJER,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,3795,NA,Miles de pesos (M$),SIN INFORMACION
