CODIGO_PROYECTO;N;SUBDIRECCION;PROGRAMA;INSTRUMENTO;NOMBRE_CONCURSO;AGNO_CONCURSO;AGNO_FALLO;NOMBRE_PROYECTO;AREA_OCDE;DISCIPLINA_DETALLE;GRUPO_DE_EVALUACION;DURACION_MESES;TIPO_BENEFICIARIO;NOMBRE_RESPONSABLE;SEXO;INSTITUCION_PRINCIPAL;MACROZONA_MINCIENCIA;REGION_EJECUCION;MONTO_ADJUDICADO (M$);NOTA_MONTO
NCN19_038;101;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEOS CIENCIAS NATURALES Y EXACTAS 2019;2019;2020;MILLENNIUM NUCLEUS FOR THE STUDY OF PAIN (MINUSPAIN)Â€;MEDICINA Y CIENCIAS DE LA SALUD;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;MARGARITA CALVO BASCUNAN;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN19_056;102;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEOS CIENCIAS NATURALES Y EXACTAS 2019;2019;2020;MILLENNIUM NUCLEUS FOR ECOLOGY AND CONSERVATION TEMPERATE MESOPHOTIC REEF ECOSYSTEMS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;ALEJANDRO PEREZ MATUS;HOMBRE;NO APLICA;CENTRO;REGION DE VALPARAISO;;No terminado
NCN19_058;103;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEOS CIENCIAS NATURALES Y EXACTAS 2019;2019;2020;MILLENNIUM NUCLEUS FOR TRANSVERSAL RESEARCH AND TECHNOLOGY TO EXPLORE SUPERMASSIVE BLACK HOLES;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;NEIL MARK NAGAR;HOMBRE;NO APLICA;SUR;REGION DEL BIOBIO;;No terminado
NCN19_153;104;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEOS CIENCIAS NATURALES Y EXACTAS 2019;2019;2020;MILLENIUM NUCLEUS UPWELL: UNDERSTANDING PAST COASTAL UPWELLING SYSTEM AND ENVIRONMENTAL LOCAL AND LASTING IMPACTS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;EUGENIA MONSERRAT GAYO HERNANDEZ;MUJER;NO APLICA;SUR;REGION DEL BIOBIO;;No terminado
NCN19_161;105;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEOS CIENCIAS NATURALES Y EXACTAS 2019;2019;2020;MILLENNIUM NUCLEUS FOR APPLIED CONTROL AND INVERSE PROBLEMS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;EDUARDO CERPA JERIA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
ICN19_015;106;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO INSTITUTO MILENIO CIENCIAS NATURALES Y EXACTAS 2019;2019;2020;COASTAL SOCIAL-ECOLOGICAL MILLENNIUM INSTITUTE (SECOS);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;STEFAN GELCICH CROSSLEY;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
ICN19_044;107;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO INSTITUTO MILENIO CIENCIAS NATURALES Y EXACTAS 2019;2019;2020;MILLENNIUM INSTITUTE FOR SUBATOMIC PHYSICS AT THE HIGH-ENERGY FRONTIER;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;SERGEY KULESHOV VALENTINOVNA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
ICS19_024;108;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS SOCIALES;CONCURSO INSTITUTO MILENIO CIENCIAS SOCIALES 2019;2019;2020;MILLENNIUM INSTITUTE FOR CAREGIVING RESEARCH;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;CLAUDIA MIRANDA CASTILLO;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
ICS19_025;109;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS SOCIALES;CONCURSO INSTITUTO MILENIO CIENCIAS SOCIALES 2019;2019;2020;MILLENIMUM INSTITUTE ON VIOLENCE AND DEMOCRACY RESEARCH;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;HELENE RISOR RISOR;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN21_010;110;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2021;2021;2021;MILLENNIUM NUCLEUS FOR THE DEVELOPMENT OF SUPER ADAPTABLE PLANTS (MN-SAP);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;JOSE MANUEL ESTEVEZ LOPEZ RUIZ;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN21_017;111;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2021;2021;2021;MILLENIUM NUCLEUS FOR THE EVOLUTIONARY RECONSTRUCTION OF THE INTERSTELLAR MEDIUM;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;PAULA JOFRE PFEIL;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN21_021;112;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2021;2021;2021;NUCLEOUS IN NANOBIOPHYSICS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;JOSE GARATE CHATEAU;HOMBRE;NO APLICA;CENTRO;REGION DE VALPARAISO;;No terminado
NCN21_033;113;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2021;2021;2021;MILLENIUM NUCLEUS MARINE AGRONOMY OF SEAWEED HOLOBIONTS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;CAROLINA CAMUS TORRES;MUJER;NO APLICA;SUR;REGION DE LOS LAGOS;;No terminado
NCN21_050;114;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2021;2021;2021;MILLENIUM NUCLEUS OF PATAGONIAN LIMIT-OF-LIFE: ENVIRONMENTAL CONSTRAINTS ON GENETICS AND ECOPHYSIOLOGY;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;ROBERTO NESPOLO ROSSI;HOMBRE;NO APLICA;SUR;REGION DE LOS RIOS;;No terminado
NCN21_056;115;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2021;2021;2021;MILLENIUM NUCLEUS OF AUSTRAL INVASIVE SALMONIDS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;DANIEL GUILLERMO GOMEZ UCHIDA;HOMBRE;NO APLICA;SUR;REGION DEL BIOBIO;;No terminado
NCN21_080;116;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2021;2021;2021;MILLENNIUM NUCLEUS ON YOUNG EXOPLANETS AND THEIR MOONS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;SEBASTIAN PEREZ MARQUEZ;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS21_003;117;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2021;2021;2021;MILLENNIUM NUCLEUS FOR THE EVALUATION AND ANALYSIS OF DRUG POLICIES;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;ALVARO ERNESTO CASTILLO CARNIGLIA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS21_013;118;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2021;2021;2021;NUCLEO MILENIO DE SOCIOMEDICINA;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;ESTEBAN CALVO BRALIC;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS21_014;119;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2021;2021;2021;MILLENNIUM NUCLEUS FOR THE STUDY OF THE DEVELOPMENT OF EARLY MATH SKILLS;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;MARIA INES SUSPERREGUY JORQUERA;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS21_033;120;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2021;2021;2021;MILLENNIUM NUCLEUS ON THE EVOLUTION OF WORK;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;JEANNE LAFORTUNE .;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS21_040;121;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2021;2021;2021;MILLENIUM NUCLEUS OCEAN, HERITAGE AND CULTURE;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;MARIA ISABEL CARTAJENA FASTING;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS21_063;122;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2021;2021;2021;CENTER FOR THE STUDY OF POLITICS, PUBLIC OPINION AND MEDIA IN CHILE;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;PATRICIO DANIEL NAVIA LUCERO;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS21_072;123;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2021;2021;2021;MILLENNIUM NUCLEUS ON INTERGENERATIONAL MOBILITY: FROM MODELLING TO POLICY;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;ERNESTO JAVIER SAN MARTIN GUTIERREZ;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
ICN21_002;124;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE INSTITUTOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2021;2021;2021;MILLENNIUM INSTITUTE BIODIVERSITY OF ANTARCTIC AND SUBANTARCTIC ECOSYSTEMS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;ELIE POULIN CHARMOLUE;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
ICN21_004;125;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE INSTITUTOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2021;2021;2021;MILLENNIUM INSTITUTE FOR INTELLIGENT HEALTHCARE ENGINEERING;INGENIERIA Y TECNOLOGIA;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;CLAUDIA PRIETO VASQUEZ;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS2022_009;126;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2022;2022;2022;MILLENIUM NUCLEUS IN ANDEAN PEATLANDS;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;MANUEL JOSE PRIETO MONTT;HOMBRE;NO APLICA;NORTE;REGION DE TARAPACA;;No terminado
NCS2022_013;127;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2022;2022;2022;MILLENNIUM NUCLEUS FOR THE INTEGRATED DEVELOPMENT OF TERRITORIES;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;WILLIAM ELLIS FOSTER BONNETTE;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS2022_016;128;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2022;2022;2022;MILLENNIUM NUCLEUS IN MUSICAL AND SOUND CULTURES;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;CHRISTIAN SPENCER ESPINOSA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS2022_024;129;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2022;2022;2022;MILLENNIUM NUCLEUS OF APPLIED HISTORICAL ECOLOGY FOR ARID FORESTS;MULTIDISCIPLINARIO;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;VIRGINIA MCROSTIE BUSTAMANTE;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS2022_026;130;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2022;2022;2022;MILLENNIUM NUCLEUS FOR THE SCIENCE OF LEARNING;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;ROBERTO ANDRES FERREIRA CAMPOS;HOMBRE;NO APLICA;CENTRO SUR;REGION DEL MAULE;;No terminado
NCS2022_039;131;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2022;2022;2022;MILLENNIUM NUCLEUS STUDIES ON DISABILITY AND CITIZENSHIP;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;MARIA FLORENCIA HERRERA OESTERHELD;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS2022_045;132;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2022;2022;2022;MILLENIUM NUCLEUS FOR LABOR MARKET MISMATCH: CAUSES AND CONSEQUENCES;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;FELIPE BALMACEDA MAHNS;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS2022_046;133;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2022;2022;2022;MILLENNIUM NUCLEUS IN DIGITAL INEQUALITIES AND OPPORTUNITIES;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;INGRID ANDREA BACHMANN CACERES;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS2022_051;134;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2022;2022;2022;MILLENIUM NUCLEUS FOR THE STUDY OF THE CONSEQUENCES OF IMMIGRATION, THE DRIVERS OF PUBLIC PERCEPTIONS, AND POTENTIAL MISMATCHES BETWEEN REALITY AND PERCEPTIONS ABOUT MIGRATION IN CHILE;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;RAIMUNDO UNDURRAGA RIESCO;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS2022_053;135;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2022;2022;2022;MILLENIUM NUCLEUS ON THE IMPACTS OF CHINA IN LAC;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;FRANCISCO URDINEZ GAVIOT;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS2022_065;136;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2022;2022;2022;MILLENIUM NUCLEUS FUTURES OF ARTIFICIAL INTELLIGENCE AND ITS SOCIO CULTURAL IMPLICATIONS IN CHILE AND LATIN AMERICA;MULTIDISCIPLINARIO;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;MARTIN TIRONI RODO;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
